,holiday,workingday,weather,temp,atemp,humidity,windspeed,total,year,month,hour,season_2,season_3,season_4
69,0,1,1,6.56,9.09,55,7.0015,5,2011,1,0,0,0,0
70,0,1,1,6.56,9.09,59,7.0015,2,2011,1,1,0,0,0
71,0,1,1,5.74,7.575,63,8.9981,1,2011,1,2,0,0,0
72,0,1,1,5.74,9.09,63,6.0032,2,2011,1,4,0,0,0
73,0,1,1,4.92,7.575,68,7.0015,4,2011,1,5,0,0,0
74,0,1,1,4.92,7.575,74,7.0015,36,2011,1,6,0,0,0
75,0,1,1,4.92,7.575,74,8.9981,94,2011,1,7,0,0,0
76,0,1,1,5.74,7.575,69,11.0014,179,2011,1,8,0,0,0
77,0,1,1,6.56,7.575,64,15.0013,100,2011,1,9,0,0,0
78,0,1,2,6.56,6.82,69,22.0028,42,2011,1,10,0,0,0
79,0,1,1,9.02,10.605,51,19.9995,57,2011,1,11,0,0,0
80,0,1,1,9.02,11.365,51,11.0014,78,2011,1,12,0,0,0
81,0,1,1,9.84,11.365,56,12.998,97,2011,1,13,0,0,0
82,0,1,1,10.66,12.88,52,15.0013,63,2011,1,14,0,0,0
83,0,1,1,11.48,13.635,52,16.9979,65,2011,1,15,0,0,0
84,0,1,1,12.3,14.395,49,16.9979,83,2011,1,16,0,0,0
85,0,1,1,11.48,13.635,48,15.0013,212,2011,1,17,0,0,0
86,0,1,1,10.66,12.88,48,12.998,182,2011,1,18,0,0,0
87,0,1,1,9.84,12.88,48,7.0015,112,2011,1,19,0,0,0
88,0,1,1,9.84,12.88,48,7.0015,54,2011,1,20,0,0,0
89,0,1,1,9.02,13.635,64,0.0,48,2011,1,21,0,0,0
90,0,1,1,9.02,12.88,64,6.0032,35,2011,1,22,0,0,0
91,0,1,1,8.2,11.365,69,6.0032,11,2011,1,23,0,0,0
92,0,1,1,8.2,12.88,64,0.0,6,2011,1,0,0,0,0
93,0,1,1,6.56,9.85,74,6.0032,6,2011,1,1,0,0,0
94,0,1,1,6.56,9.85,74,6.0032,2,2011,1,2,0,0,0
95,0,1,1,9.84,11.365,48,15.0013,2,2011,1,4,0,0,0
96,0,1,1,9.02,11.365,47,11.0014,3,2011,1,5,0,0,0
97,0,1,1,8.2,9.85,47,15.0013,33,2011,1,6,0,0,0
98,0,1,1,7.38,9.09,43,12.998,88,2011,1,7,0,0,0
99,0,1,1,8.2,9.09,40,19.9995,195,2011,1,8,0,0,0
100,0,1,1,9.02,9.85,37,22.0028,115,2011,1,9,0,0,0
101,0,1,1,9.02,9.85,37,22.0028,57,2011,1,10,0,0,0
102,0,1,1,10.66,11.365,33,22.0028,46,2011,1,11,0,0,0
103,0,1,1,10.66,11.365,33,22.0028,79,2011,1,12,0,0,0
104,0,1,1,11.48,12.88,30,19.9995,71,2011,1,13,0,0,0
105,0,1,1,12.3,14.395,28,12.998,62,2011,1,14,0,0,0
106,0,1,1,12.3,14.395,28,12.998,62,2011,1,15,0,0,0
107,0,1,1,12.3,15.91,28,6.0032,89,2011,1,16,0,0,0
108,0,1,1,9.84,11.365,38,12.998,190,2011,1,17,0,0,0
109,0,1,1,9.84,12.12,38,8.9981,169,2011,1,18,0,0,0
110,0,1,1,9.84,12.88,38,7.0015,132,2011,1,19,0,0,0
111,0,1,1,9.02,11.365,47,11.0014,89,2011,1,20,0,0,0
112,0,1,1,8.2,9.85,51,12.998,43,2011,1,21,0,0,0
113,0,1,1,7.38,9.85,55,8.9981,42,2011,1,22,0,0,0
114,0,1,1,8.2,12.88,47,0.0,19,2011,1,23,0,0,0
115,0,1,1,7.38,12.12,55,0.0,11,2011,1,0,0,0,0
116,0,1,1,6.56,11.365,64,0.0,4,2011,1,1,0,0,0
117,0,1,1,6.56,11.365,64,0.0,2,2011,1,2,0,0,0
118,0,1,2,6.56,9.85,64,6.0032,1,2011,1,4,0,0,0
119,0,1,2,5.74,9.09,69,6.0032,4,2011,1,5,0,0,0
120,0,1,2,5.74,8.335,63,7.0015,36,2011,1,6,0,0,0
121,0,1,2,6.56,11.365,59,0.0,95,2011,1,7,0,0,0
122,0,1,1,6.56,11.365,59,0.0,219,2011,1,8,0,0,0
123,0,1,2,7.38,12.12,51,0.0,122,2011,1,9,0,0,0
124,0,1,1,8.2,12.88,47,0.0,45,2011,1,10,0,0,0
125,0,1,1,9.02,12.88,44,6.0032,59,2011,1,11,0,0,0
126,0,1,1,10.66,14.395,35,0.0,84,2011,1,12,0,0,0
127,0,1,1,10.66,13.635,35,7.0015,67,2011,1,13,0,0,0
128,0,1,1,11.48,13.635,36,11.0014,70,2011,1,14,0,0,0
129,0,1,1,11.48,13.635,36,0.0,62,2011,1,15,0,0,0
130,0,1,1,10.66,12.88,38,11.0014,86,2011,1,16,0,0,0
131,0,1,1,9.02,11.365,51,11.0014,172,2011,1,17,0,0,0
132,0,1,1,9.02,11.365,51,8.9981,163,2011,1,18,0,0,0
133,0,1,1,9.02,12.88,55,6.0032,112,2011,1,19,0,0,0
134,0,1,1,8.2,10.605,51,11.0014,69,2011,1,20,0,0,0
135,0,1,2,9.02,10.605,55,15.0013,48,2011,1,21,0,0,0
136,0,1,2,9.02,10.605,51,19.0012,52,2011,1,22,0,0,0
137,0,1,2,8.2,9.85,59,12.998,23,2011,1,23,0,0,0
138,0,1,2,8.2,9.85,64,12.998,17,2011,1,0,0,0,0
139,0,1,2,8.2,9.85,69,15.0013,7,2011,1,1,0,0,0
140,0,1,2,8.2,9.85,69,15.0013,1,2011,1,2,0,0,0
141,0,1,2,8.2,10.605,69,8.9981,1,2011,1,4,0,0,0
142,0,1,3,9.02,13.635,55,0.0,5,2011,1,5,0,0,0
143,0,1,2,8.2,12.88,69,0.0,34,2011,1,6,0,0,0
144,0,1,1,8.2,10.605,69,8.9981,84,2011,1,7,0,0,0
145,0,1,1,8.2,9.85,51,16.9979,210,2011,1,8,0,0,0
146,0,1,1,8.2,9.09,47,19.9995,134,2011,1,9,0,0,0
147,0,1,1,9.02,9.85,37,22.0028,63,2011,1,10,0,0,0
148,0,1,2,8.2,9.85,40,15.0013,67,2011,1,11,0,0,0
149,0,1,2,8.2,9.85,37,16.9979,59,2011,1,12,0,0,0
150,0,1,2,8.2,9.09,37,19.0012,73,2011,1,13,0,0,0
151,0,1,2,8.2,9.85,40,16.9979,50,2011,1,14,0,0,0
152,0,1,2,8.2,10.605,37,11.0014,72,2011,1,15,0,0,0
153,0,1,2,8.2,10.605,37,11.0014,87,2011,1,16,0,0,0
154,0,1,2,8.2,12.88,37,0.0,187,2011,1,17,0,0,0
155,0,1,1,8.2,11.365,40,6.0032,123,2011,1,18,0,0,0
156,0,1,1,6.56,9.85,55,6.0032,95,2011,1,19,0,0,0
157,0,1,1,7.38,10.605,47,7.0015,51,2011,1,20,0,0,0
158,0,1,1,7.38,9.85,47,8.9981,39,2011,1,21,0,0,0
159,0,1,2,7.38,9.85,43,11.0014,36,2011,1,22,0,0,0
160,0,1,2,7.38,9.85,51,11.0014,15,2011,1,23,0,0,0
161,0,0,2,7.38,9.85,51,11.0014,25,2011,1,0,0,0,0
162,0,0,2,7.38,10.605,55,6.0032,16,2011,1,1,0,0,0
163,0,0,2,7.38,12.12,55,0.0,16,2011,1,2,0,0,0
164,0,0,3,7.38,9.85,55,11.0014,7,2011,1,3,0,0,0
165,0,0,3,7.38,9.85,55,11.0014,1,2011,1,4,0,0,0
166,0,0,2,6.56,8.335,74,11.0014,5,2011,1,5,0,0,0
167,0,0,2,6.56,8.335,74,11.0014,2,2011,1,6,0,0,0
168,0,0,2,6.56,9.09,74,7.0015,9,2011,1,7,0,0,0
169,0,0,3,6.56,9.09,93,7.0015,15,2011,1,8,0,0,0
170,0,0,3,6.56,9.09,93,7.0015,20,2011,1,9,0,0,0
171,0,0,2,7.38,9.85,80,11.0014,61,2011,1,10,0,0,0
172,0,0,2,8.2,9.09,69,26.0027,62,2011,1,11,0,0,0
173,0,0,2,8.2,9.09,59,23.9994,98,2011,1,12,0,0,0
174,0,0,1,8.2,9.09,44,22.0028,102,2011,1,13,0,0,0
175,0,0,1,8.2,8.335,32,32.9975,95,2011,1,14,0,0,0
176,0,0,1,8.2,8.335,32,30.0026,74,2011,1,15,0,0,0
177,0,0,1,7.38,6.82,29,30.0026,76,2011,1,16,0,0,0
178,0,0,1,6.56,6.06,37,36.9974,69,2011,1,17,0,0,0
179,0,0,1,5.74,6.06,39,19.9995,55,2011,1,18,0,0,0
180,0,0,1,5.74,6.06,36,16.9979,30,2011,1,19,0,0,0
181,0,0,1,4.92,6.06,36,16.9979,28,2011,1,20,0,0,0
182,0,0,1,4.92,5.305,39,23.9994,37,2011,1,21,0,0,0
183,0,0,1,4.92,5.305,36,26.0027,34,2011,1,22,0,0,0
184,0,0,1,4.1,3.03,39,30.0026,22,2011,1,23,0,0,0
185,0,0,1,4.1,3.79,42,26.0027,25,2011,1,0,0,0,0
186,0,0,1,4.1,3.03,42,31.0009,12,2011,1,1,0,0,0
187,0,0,1,4.1,3.03,46,31.0009,11,2011,1,2,0,0,0
188,0,0,1,4.1,3.79,46,27.9993,4,2011,1,3,0,0,0
189,0,0,1,3.28,4.545,53,12.998,1,2011,1,4,0,0,0
190,0,0,1,3.28,4.545,53,12.998,1,2011,1,5,0,0,0
191,0,0,1,4.1,4.545,49,19.0012,1,2011,1,6,0,0,0
192,0,0,1,3.28,4.545,53,12.998,6,2011,1,7,0,0,0
193,0,0,1,4.1,4.545,49,19.0012,10,2011,1,8,0,0,0
194,0,0,1,4.92,3.79,46,35.0008,19,2011,1,9,0,0,0
195,0,0,1,5.74,5.305,43,26.0027,49,2011,1,10,0,0,0
196,0,0,1,6.56,6.06,40,35.0008,49,2011,1,11,0,0,0
197,0,0,1,7.38,6.82,37,30.0026,83,2011,1,12,0,0,0
198,0,0,1,8.2,8.335,34,30.0026,75,2011,1,13,0,0,0
199,0,0,1,9.02,9.09,32,31.0009,72,2011,1,14,0,0,0
200,0,0,1,9.02,9.85,35,23.9994,82,2011,1,15,0,0,0
201,0,0,1,8.2,8.335,34,30.0026,92,2011,1,16,0,0,0
202,0,0,1,7.38,7.575,37,26.0027,62,2011,1,17,0,0,0
203,0,0,1,6.56,6.82,40,22.0028,48,2011,1,18,0,0,0
204,0,0,1,6.56,6.82,43,22.0028,41,2011,1,19,0,0,0
205,0,0,1,5.74,6.06,46,16.9979,38,2011,1,20,0,0,0
206,0,0,1,5.74,5.305,46,27.9993,20,2011,1,21,0,0,0
207,0,0,1,5.74,6.06,46,19.9995,15,2011,1,22,0,0,0
208,0,0,1,4.92,6.82,50,12.998,6,2011,1,23,0,0,0
209,0,1,1,4.92,6.06,50,19.0012,5,2011,1,0,0,0,0
210,0,1,1,4.92,6.06,50,19.0012,1,2011,1,1,0,0,0
211,0,1,1,4.92,6.06,50,15.0013,3,2011,1,2,0,0,0
212,0,1,1,4.92,6.06,50,15.0013,1,2011,1,3,0,0,0
213,0,1,1,4.1,6.06,54,8.9981,3,2011,1,4,0,0,0
214,0,1,1,4.1,5.305,54,16.9979,3,2011,1,5,0,0,0
215,0,1,1,4.92,6.06,50,19.0012,31,2011,1,6,0,0,0
216,0,1,1,4.92,6.06,50,15.0013,77,2011,1,7,0,0,0
217,0,1,2,4.92,6.06,50,19.0012,188,2011,1,8,0,0,0
218,0,1,2,5.74,6.06,50,16.9979,94,2011,1,9,0,0,0
219,0,1,2,5.74,6.06,50,19.9995,31,2011,1,10,0,0,0
220,0,1,2,6.56,6.82,47,19.0012,30,2011,1,11,0,0,0
221,0,1,2,8.2,9.09,40,19.0012,52,2011,1,12,0,0,0
222,0,1,2,8.2,9.09,40,19.0012,54,2011,1,13,0,0,0
223,0,1,2,8.2,9.85,40,15.0013,47,2011,1,14,0,0,0
224,0,1,2,8.2,9.85,40,15.0013,45,2011,1,15,0,0,0
225,0,1,1,8.2,10.605,40,8.9981,74,2011,1,16,0,0,0
226,0,1,1,8.2,11.365,40,7.0015,178,2011,1,17,0,0,0
227,0,1,1,8.2,9.85,40,15.0013,155,2011,1,18,0,0,0
228,0,1,1,6.56,8.335,47,11.0014,95,2011,1,19,0,0,0
229,0,1,1,6.56,8.335,50,11.0014,74,2011,1,20,0,0,0
230,0,1,1,5.74,6.82,59,12.998,38,2011,1,21,0,0,0
231,0,1,1,5.74,7.575,59,11.0014,24,2011,1,22,0,0,0
232,0,1,1,5.74,7.575,59,11.0014,18,2011,1,23,0,0,0
233,0,1,1,5.74,8.335,59,7.0015,12,2011,1,0,0,0,0
234,0,1,1,5.74,7.575,59,11.0014,3,2011,1,1,0,0,0
235,0,1,2,6.56,7.575,55,12.998,3,2011,1,2,0,0,0
236,0,1,2,6.56,9.09,55,8.9981,6,2011,1,5,0,0,0
237,0,1,2,6.56,9.09,55,8.9981,27,2011,1,6,0,0,0
238,0,1,2,6.56,11.365,55,0.0,99,2011,1,7,0,0,0
239,0,1,2,7.38,10.605,51,6.0032,217,2011,1,8,0,0,0
240,0,1,2,7.38,9.85,51,11.0014,130,2011,1,9,0,0,0
241,0,1,2,8.2,10.605,51,11.0014,54,2011,1,10,0,0,0
242,0,1,2,8.2,10.605,47,8.9981,35,2011,1,11,0,0,0
243,0,1,2,8.2,11.365,51,7.0015,57,2011,1,12,0,0,0
244,0,1,2,8.2,11.365,59,6.0032,52,2011,1,13,0,0,0
245,0,1,2,8.2,11.365,59,6.0032,63,2011,1,14,0,0,0
246,0,1,2,6.56,9.85,80,6.0032,47,2011,1,15,0,0,0
247,0,1,2,6.56,7.575,86,15.0013,76,2011,1,16,0,0,0
248,0,1,2,6.56,7.575,86,15.0013,136,2011,1,17,0,0,0
249,0,1,3,6.56,9.09,93,7.0015,95,2011,1,18,0,0,0
250,0,1,3,6.56,11.365,93,0.0,51,2011,1,19,0,0,0
251,0,1,3,6.56,7.575,93,12.998,32,2011,1,20,0,0,0
252,0,1,3,6.56,9.85,86,6.0032,20,2011,1,21,0,0,0
253,0,1,3,6.56,9.09,93,7.0015,29,2011,1,22,0,0,0
254,0,1,3,6.56,9.85,93,6.0032,19,2011,1,23,0,0,0
255,0,1,2,6.56,9.85,86,6.0032,7,2011,1,0,0,0,0
256,0,1,2,6.56,9.09,86,7.0015,6,2011,1,1,0,0,0
257,0,1,1,5.74,7.575,86,8.9981,1,2011,1,2,0,0,0
258,0,1,1,5.74,7.575,86,11.0014,5,2011,1,5,0,0,0
259,0,1,1,4.92,7.575,93,8.9981,16,2011,1,6,0,0,0
260,0,1,1,5.74,7.575,69,8.9981,54,2011,1,7,0,0,0
261,0,1,1,6.56,8.335,59,11.0014,128,2011,1,8,0,0,0
262,0,1,1,6.56,6.82,59,22.0028,81,2011,1,9,0,0,0
263,0,1,1,7.38,9.09,55,15.0013,39,2011,1,10,0,0,0
264,0,1,1,8.2,9.09,51,26.0027,35,2011,1,11,0,0,0
265,0,1,1,8.2,7.575,47,39.0007,55,2011,1,12,0,0,0
266,0,1,1,9.02,9.85,44,23.9994,49,2011,1,13,0,0,0
267,0,1,1,8.2,9.09,47,22.0028,44,2011,1,14,0,0,0
268,0,1,1,8.2,8.335,47,27.9993,49,2011,1,15,0,0,0
269,0,1,1,9.02,9.85,44,22.0028,68,2011,1,16,0,0,0
270,0,1,1,8.2,9.09,47,23.9994,139,2011,1,17,0,0,0
271,0,1,1,8.2,7.575,47,35.0008,137,2011,1,18,0,0,0
272,0,1,1,7.38,7.575,47,27.9993,83,2011,1,19,0,0,0
273,0,1,1,6.56,6.82,50,22.0028,56,2011,1,20,0,0,0
274,0,1,1,6.56,6.82,55,22.0028,57,2011,1,21,0,0,0
275,0,1,1,6.56,6.06,55,30.0026,33,2011,1,22,0,0,0
276,0,1,1,5.74,5.305,59,27.9993,20,2011,1,23,0,0,0
277,0,1,1,5.74,6.06,59,19.0012,7,2011,1,0,0,0,0
278,0,1,1,5.74,6.06,50,19.0012,2,2011,1,1,0,0,0
279,0,1,1,5.74,6.06,50,23.9994,2,2011,1,2,0,0,0
280,0,1,1,5.74,6.06,50,22.0028,3,2011,1,3,0,0,0
281,0,1,1,5.74,6.06,50,16.9979,4,2011,1,4,0,0,0
282,0,1,1,5.74,6.06,50,19.9995,3,2011,1,5,0,0,0
283,0,1,1,4.92,7.575,54,8.9981,28,2011,1,6,0,0,0
284,0,1,1,4.92,7.575,54,8.9981,72,2011,1,7,0,0,0
285,0,1,1,5.74,6.82,50,12.998,202,2011,1,8,0,0,0
286,0,1,1,5.74,6.06,50,22.0028,139,2011,1,9,0,0,0
287,0,1,2,6.56,6.82,50,23.9994,38,2011,1,10,0,0,0
288,0,1,2,8.2,8.335,44,30.0026,37,2011,1,11,0,0,0
289,0,1,1,8.2,8.335,44,27.9993,52,2011,1,12,0,0,0
290,0,1,1,9.02,9.85,41,30.0026,83,2011,1,13,0,0,0
291,0,1,1,9.02,9.85,41,26.0027,42,2011,1,14,0,0,0
292,0,1,1,9.84,10.605,38,19.9995,60,2011,1,15,0,0,0
293,0,1,1,9.84,10.605,38,23.9994,78,2011,1,16,0,0,0
294,0,1,1,8.2,9.09,40,19.0012,162,2011,1,17,0,0,0
295,0,1,1,8.2,9.09,40,22.0028,144,2011,1,18,0,0,0
296,0,1,1,6.56,7.575,47,16.9979,99,2011,1,19,0,0,0
297,0,1,1,6.56,7.575,47,15.0013,64,2011,1,20,0,0,0
298,0,1,1,5.74,6.06,46,19.9995,40,2011,1,21,0,0,0
299,0,1,1,5.74,6.06,46,22.0028,30,2011,1,22,0,0,0
300,0,1,1,4.92,6.82,50,12.998,15,2011,1,23,0,0,0
301,0,1,1,4.92,6.82,50,12.998,14,2011,1,0,0,0,0
302,0,1,1,4.1,6.06,54,11.0014,5,2011,1,1,0,0,0
303,0,1,1,4.1,6.06,54,8.9981,1,2011,1,2,0,0,0
304,0,1,1,4.1,6.82,54,7.0015,1,2011,1,3,0,0,0
305,0,1,1,4.1,6.82,54,6.0032,8,2011,1,5,0,0,0
306,0,1,1,4.1,9.09,54,0.0,17,2011,1,6,0,0,0
307,0,1,1,4.1,6.06,74,11.0014,70,2011,1,7,0,0,0
308,0,1,1,4.92,8.335,68,0.0,158,2011,1,8,0,0,0
309,0,1,1,5.74,7.575,69,8.9981,117,2011,1,9,0,0,0
310,0,1,1,7.38,9.09,55,12.998,44,2011,1,10,0,0,0
311,0,1,1,7.38,8.335,51,19.0012,53,2011,1,11,0,0,0
312,0,1,1,8.2,9.85,44,16.9979,61,2011,1,12,0,0,0
313,0,1,1,9.02,9.85,37,26.0027,77,2011,1,13,0,0,0
314,0,1,1,9.02,10.605,41,19.0012,64,2011,1,14,0,0,0
315,0,1,1,9.84,12.12,38,11.0014,68,2011,1,15,0,0,0
316,0,1,1,9.02,12.12,41,7.0015,90,2011,1,16,0,0,0
317,0,1,1,9.02,11.365,41,11.0014,159,2011,1,17,0,0,0
318,0,1,1,8.2,12.88,47,0.0,139,2011,1,18,0,0,0
319,0,1,1,6.56,9.85,59,6.0032,92,2011,1,19,0,0,0
320,0,1,1,7.38,12.12,59,0.0,68,2011,1,20,0,0,0
321,0,1,1,6.56,11.365,69,0.0,52,2011,1,21,0,0,0
322,0,1,2,6.56,11.365,69,0.0,36,2011,1,22,0,0,0
323,0,1,2,7.38,12.12,55,0.0,27,2011,1,23,0,0,0
324,0,0,1,7.38,12.12,55,0.0,28,2011,1,0,0,0,0
325,0,0,2,6.56,9.85,59,6.0032,20,2011,1,1,0,0,0
326,0,0,2,6.56,9.85,59,6.0032,12,2011,1,2,0,0,0
327,0,0,2,6.56,11.365,59,0.0,8,2011,1,3,0,0,0
328,0,0,2,6.56,11.365,59,0.0,5,2011,1,4,0,0,0
329,0,0,1,6.56,11.365,59,0.0,1,2011,1,5,0,0,0
330,0,0,1,5.74,8.335,63,7.0015,3,2011,1,6,0,0,0
331,0,0,1,5.74,10.605,63,0.0,10,2011,1,7,0,0,0
332,0,0,1,5.74,7.575,63,8.9981,23,2011,1,8,0,0,0
333,0,0,1,6.56,9.09,64,8.9981,33,2011,1,9,0,0,0
334,0,0,1,7.38,9.85,59,11.0014,59,2011,1,10,0,0,0
335,0,0,1,8.2,9.85,55,15.0013,72,2011,1,11,0,0,0
336,0,0,1,9.84,11.365,48,15.0013,89,2011,1,12,0,0,0
337,0,0,1,11.48,12.88,38,19.9995,101,2011,1,13,0,0,0
338,0,0,1,12.3,14.395,39,19.0012,118,2011,1,14,0,0,0
339,0,0,2,13.12,15.91,36,12.998,129,2011,1,15,0,0,0
340,0,0,2,13.94,16.665,34,12.998,128,2011,1,16,0,0,0
341,0,0,2,13.12,15.15,36,19.0012,83,2011,1,17,0,0,0
342,0,0,2,12.3,14.395,45,16.9979,84,2011,1,18,0,0,0
343,0,0,2,13.12,15.15,39,16.9979,74,2011,1,19,0,0,0
344,0,0,2,13.12,15.15,39,16.9979,41,2011,1,20,0,0,0
345,0,0,2,13.12,15.15,39,15.0013,57,2011,1,21,0,0,0
346,0,0,2,12.3,15.91,42,7.0015,26,2011,1,22,0,0,0
347,0,0,1,12.3,14.395,45,19.0012,44,2011,1,23,0,0,0
348,0,0,1,10.66,15.15,56,0.0,39,2011,1,0,0,0,0
349,0,0,1,10.66,13.635,56,8.9981,23,2011,1,1,0,0,0
350,0,0,1,10.66,14.395,56,6.0032,16,2011,1,2,0,0,0
351,0,0,1,9.02,13.635,69,0.0,15,2011,1,3,0,0,0
352,0,0,1,10.66,12.88,56,11.0014,1,2011,1,4,0,0,0
353,0,0,2,10.66,12.88,56,11.0014,2,2011,1,5,0,0,0
354,0,0,2,10.66,12.88,56,11.0014,1,2011,1,6,0,0,0
355,0,0,2,9.84,10.605,56,19.9995,3,2011,1,7,0,0,0
356,0,0,1,9.02,10.605,55,19.0012,18,2011,1,8,0,0,0
357,0,0,1,9.02,10.605,51,16.9979,32,2011,1,9,0,0,0
358,0,0,1,9.02,10.605,51,19.0012,79,2011,1,10,0,0,0
359,0,0,1,9.84,11.365,44,16.9979,93,2011,1,11,0,0,0
360,0,0,1,9.84,10.605,41,19.0012,104,2011,1,12,0,0,0
361,0,0,1,10.66,11.365,35,19.9995,118,2011,1,13,0,0,0
362,0,0,1,11.48,13.635,36,16.9979,91,2011,1,14,0,0,0
363,0,0,1,10.66,12.12,38,16.9979,113,2011,1,15,0,0,0
364,0,0,1,9.84,11.365,38,15.0013,99,2011,1,16,0,0,0
365,0,0,1,9.02,10.605,37,16.9979,105,2011,1,17,0,0,0
366,0,0,1,8.2,10.605,40,11.0014,67,2011,1,18,0,0,0
